series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T37.A.Q.,T37,Trade indices - individual countries/areas,388,C,Jamaica,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,15.62774554,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,504,C,Morocco,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,11.60713607,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,504,C,Morocco,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,19.42713444,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,554,C,New Zealand,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,13.21315802,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,554,C,New Zealand,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,15.57878336,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,579,C,Norway,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,3.22747446,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,579,C,Norway,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,5.38380222,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,608,C,Philippines,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,45.08630995,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,608,C,Philippines,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,6.49731929,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,616,C,Poland,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,0.86646322,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,616,C,Poland,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,1.43226598,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,620,C,Portugal,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,4.41194309,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,620,C,Portugal,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,5.11868755,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,19.51106596,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,10.45080296,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,1.54953278,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,1.62891038,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,6.99566035,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,3.52745563,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,5.63962825,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,19.72560272,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,10.3325581,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,1.31187582,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,7.8624657,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,9.69642867,,Q,Volume,A,Actual
